RepRapFirmware height map file v2 generated at 2021-06-05 23:22, min error -0.165, max error 0.285, mean -0.054, deviation 0.060
axis0,axis1,min0,max0,min1,max1,radius,spacing0,spacing1,num0,num1
X,Y,19.00,305.00,3.00,303.00,-1.00,28.60,30.00,11,11
 -0.035, -0.095, -0.112, -0.132, -0.140, -0.147, -0.165, -0.125, -0.102, -0.092, -0.037
 -0.053, -0.097, -0.090, -0.112, -0.127, -0.127, -0.130, -0.102, -0.067, -0.055, -0.027
 -0.070, -0.062, -0.095, -0.082, -0.107, -0.102, -0.110, -0.065, -0.057, -0.017,  0.000
 -0.050, -0.060, -0.090, -0.095, -0.082, -0.082, -0.120, -0.082, -0.057, -0.027, -0.025
 -0.012, -0.043, -0.060, -0.075, -0.072, -0.062, -0.090, -0.060, -0.060, -0.035, -0.010
 -0.005, -0.043, -0.037, -0.075, -0.095, -0.060, -0.100, -0.067, -0.080, -0.045,  0.003
 -0.002,  0.010, -0.027, -0.062, -0.092, -0.090, -0.110, -0.082, -0.080, -0.043, -0.015
  0.075,  0.040, -0.012, -0.057, -0.080, -0.087, -0.115, -0.087, -0.092, -0.050, -0.040
  0.098,  0.058,  0.000, -0.030, -0.065, -0.072, -0.095, -0.072, -0.062, -0.032, -0.047
  0.040,  0.028, -0.017,  0.028,  0.060, -0.097, -0.122, -0.092, -0.085, -0.030, -0.057
  0.078,  0.038, -0.010,  0.093,  0.285,  0.025, -0.105, -0.082, -0.087, -0.077, -0.032
