RepRapFirmware height map file v2 generated at 2021-06-06 00:17, min error -0.127, max error 0.350, mean -0.008, deviation 0.065
axis0,axis1,min0,max0,min1,max1,radius,spacing0,spacing1,num0,num1
X,Y,19.00,305.00,3.00,303.00,-1.00,28.60,30.00,11,11
 -0.012, -0.075, -0.100, -0.110, -0.122, -0.122, -0.127, -0.100, -0.077, -0.070, -0.043
 -0.047, -0.070, -0.070, -0.085, -0.105, -0.095, -0.102, -0.072, -0.040, -0.045, -0.020
 -0.050, -0.047, -0.055, -0.043, -0.070, -0.065, -0.065, -0.035, -0.015,  0.013,  0.023
 -0.022, -0.040, -0.053, -0.055, -0.047, -0.035, -0.075, -0.045, -0.025,  0.005,  0.000
  0.008, -0.012, -0.020, -0.030, -0.030, -0.012, -0.037, -0.012, -0.015,  0.008,  0.028
  0.033,  0.005,  0.013, -0.025, -0.043, -0.007, -0.047, -0.020, -0.032, -0.005,  0.038
  0.035,  0.048,  0.028,  0.005, -0.020, -0.020, -0.037, -0.010, -0.010,  0.025,  0.040
  0.120,  0.082,  0.045,  0.003, -0.007, -0.017, -0.035, -0.015, -0.025,  0.008,  0.015
  0.145,  0.113,  0.068,  0.048,  0.010, -0.007, -0.027, -0.015,  0.005,  0.035,  0.015
  0.070,  0.068,  0.040,  0.093,  0.123, -0.017, -0.050, -0.012, -0.020,  0.035,  0.005
  0.115,  0.078,  0.043,  0.153,  0.350,  0.105, -0.043, -0.025, -0.030, -0.025,  0.013
